# File:A44.subsector_interp_heatpump_EUR.csv,,,,,,,
# Title: Adust shareweights for Heatpumps in Europe (based on previous testing runs),,,,,,,
# Units: NA,,,,,,,
# Column types: cccccinc,,,,,,,
# ----------,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
Albania,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Austria,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Belgium,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Bosnia and Herzegovina,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.00501485,linear
Bulgaria,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Croatia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Cyprus,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Czech Republic,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Denmark,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Estonia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.076634,linear
Finland,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
France,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Germany,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Greece,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Hungary,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Iceland,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Ireland,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Italy,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.0437207,linear
Latvia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Lithuania,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Luxembourg,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Macedonia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.0295589,linear
Malta,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Moldova,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Netherlands,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Norway,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Poland,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Portugal,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Romania,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Serbia and Montenegro,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Slovakia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Slovenia,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.0521625,linear
Spain,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Sweden,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.01475165,linear
Turkey,comm heating EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Albania,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Austria,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Belgium,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Bosnia and Herzegovina,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Bulgaria,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Croatia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Cyprus,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Czech Republic,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Denmark,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Estonia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.0120098,linear
Finland,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
France,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Germany,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Greece,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Hungary,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Iceland,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Ireland,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Italy,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.5,linear
Latvia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.01575665,linear
Lithuania,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Luxembourg,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Macedonia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,1.64474E-05,linear
Malta,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Moldova,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.0466743,linear
Netherlands,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Norway,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Poland,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Portugal,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Romania,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.0750095,linear
Serbia and Montenegro,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.05783,linear
Slovakia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Slovenia,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Spain,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Sweden,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Turkey,resid heating modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Albania,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Austria,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Belgium,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Bosnia and Herzegovina,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.000465806,linear
Bulgaria,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Croatia,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Cyprus,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Czech Republic,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Denmark,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
Estonia,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,0.01692005,linear
Finland,resid hot water modern EUR,water heat pump,share-weight,final-calibration-year,2030,,linear
