# File: A_Shareweights.csv
# Title: Shareweight Overwrites
# Units: NA
# Comments: Will write the last year forward to 2100
# Column types: cccccnnnnnnnnnnnnnnnn
# ----------
xml,region,supplysector,subsector,stub.technology,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_coalPhaseout_can.xml,Canada,electricity,coal,,0,,,,,,,,,,,,,,,
policy_coalPhaseout_mex.xml,Mexico,electricity,coal,,0,,,,,,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Car,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Car,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Car,NG,0,0,0,0,0,0,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,,,,0,0,0,,,,,,,,,,
policy_4Wfuel_po_efta.xml,European Free Trade Association,trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0,0,0,0,0,,,,,,,,,,
policy_can_BEV_2020.xml,Canada,trn_pass_road_LDV_4W,Car,BEV,0.5,1,,,,,,,,,,,,,,
policy_can_BEV_2020.xml,Canada,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0.5,1,,,,,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Light truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Light truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Medium truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Medium truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Heavy truck,BEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_efta_shwts.xml,European Free Trade Association,trn_freight_road,Heavy truck,FCEV,1,1,1,1,1,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Light truck,BEV,0.25,0.5,0.75,1,1,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Light truck,FCEV,0.25,0.5,0.75,1,1,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Medium truck,BEV,0.2,0.4,0.6,0.8,1,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Medium truck,FCEV,0.2,0.4,0.6,0.8,1,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Heavy truck,BEV,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,,,,,,,,,,
policy_fuelst_mkt_ind_shwts.xml,India,trn_freight_road,Heavy truck,FCEV,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,,,,,,,,,,
USA_no.new.coal.nuclear,USA,electricity,nuclear,,0,0,0,0,0,0,,,,,,,,,,
